sourceID,reportingCompany,reportingCountry,sourceURL,format,startDate,endDate,sourcePublishDate
106d01e51cfc987b5c69aafd218beb6b,Cenovus Energy Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report106d01e51cfc987b5c69aafd218beb6b,.pdf,01-01-2016,12-31-2016,05-12-2017
2a11ac76612bc2c0142e06743d86ef5b,Aalborg Portland Holding A/S,Denmark,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-2a11ac76612bc2c0142e06743d86ef5b,.pdf,01-01-2017,12-31-2017
fa1f94c4f910d9e5b3c007562379a49e,Algold Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-fa1f94c4f910d9e5b3c007562379a49e,.pdf,01-01-2018,12-31-2018,03-28-2019
e411721179eeb0bd73e1e4bd1d264c74,Anglesey Mining plc,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte411721179eeb0bd73e1e4bd1d264c74,.html,04-01-2015,03-31-2016,09-11-2016
f3b23396a7f364161ff80c96a5d68eda-02fc5ea950d7621dd9c00ce93eae935f-a5f1b8f86f875d0e65686bdbbc8de5c2-c0068c906b685f8cffb6dadf8f9b0753,Anglo American PLC,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f3b23396a7f364161ff80c96a5d68eda-02fc5ea950d7621dd9c00ce93eae935f-a5f1b8f86f875d0e65686bdbbc8de5c2-c0068c906b685f8cffb6dadf8f9b0753,.zip,01-01-2018,12-31-2018,06-28-2019
c0d4eb8229850f75be7cd17f91b65938,ArcelorMittal S.A.,Luxembourg,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportc0d4eb8229850f75be7cd17f91b65938,.pdf,01-01-2016,12-31-2016
109418b3c8967a402cd51b562e51835b,Azarga Metals Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-109418b3c8967a402cd51b562e51835b,.pdf,10-01-2017,09-30-2018,01-06-2020
671964b9241a3e8673971d3ce3361044,Azucar Minerals Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-671964b9241a3e8673971d3ce3361044,.pdf,01-01-2018,12-31-2018,05-22-2019
2c41729768d4fd038434280c1b9505d4,Banro Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report2c41729768d4fd038434280c1b9505d4,.pdf,01-01-2016,12-31-2016,05-30-2017
fe0017d6adf073ea12a561b310c2fb54,Bear Creek Mining Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-fe0017d6adf073ea12a561b310c2fb54,.pdf,01-01-2019,12-31-2019,02-27-2020
f69ee535699703a9dbb41422c4d498f7-afa975c3c5f8048fd0b3a0a30514de08-6c367e2d18d11a3897ac3bc21182d363-afd394e4e42001e3daa12714ad93cd68,BP plc,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f69ee535699703a9dbb41422c4d498f7-afa975c3c5f8048fd0b3a0a30514de08-6c367e2d18d11a3897ac3bc21182d363-afd394e4e42001e3daa12714ad93cd68,.zip,01-01-2018,12-31-2018,05-29-2019
79bd871dcbb1f096db73276ab657be55,Buffalo Coal Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report79bd871dcbb1f096db73276ab657be55,.pdf,01-01-2017,12-31-2017,04-20-2018
ecc0554a6ed465b055b27419db50602c,Capital Power Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportecc0554a6ed465b055b27419db50602c,.pdf,01-01-2016,12-31-2016,05-24-2017
cd7e3a6e44cbd8c39b2cc150932b9f54,Agnico Eagle Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportcd7e3a6e44cbd8c39b2cc150932b9f54,.pdf,01-01-2016,12-31-2016,05-30-2017
a6f24dafec9f935f8b8b17539213fc71,Alacer Gold Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporta6f24dafec9f935f8b8b17539213fc71,.pdf,01-01-2017,12-31-2017,05-01-2018
04b605986a7f598a0d9156a90bc81b45,Altura Energy Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report04b605986a7f598a0d9156a90bc81b45,.pdf,01-01-2017,12-31-2017,05-25-2018
e90b46944e52df60ad9f89ce023d6d21,Alvopetro Energy Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte90b46944e52df60ad9f89ce023d6d21,.pdf,01-01-2017,12-31-2017,05-18-2018
b703cab8f730a5fa596260318381207a,Amerigo Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-b703cab8f730a5fa596260318381207a,.pdf,01-01-2018,12-31-2018,04-06-2019
